Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
0,8.429663,-0.0768,0.4379,-0.2444,337.825,349.866,356.292,-0.2611,0.0370,0.2665,4.682,16.821,306.616,0.0000,0.0000,0.0000,0.000,0.000,0.000,01-08 17:52:28.417
1,8.482435,-0.0761,0.4394,-0.2457,336.892,349.500,356.423,-0.2611,0.0370,0.2665,4.681,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.103,64.754,01-08 17:52:28.466
2,8.524504,-0.0747,0.4404,-0.2464,336.272,349.191,356.458,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.847,337.105,64.756,01-08 17:52:28.509
3,8.566518,-0.0735,0.4412,-0.2469,335.878,349.448,356.117,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.848,337.104,64.755,01-08 17:52:28.551
4,8.608086,-0.0717,0.4421,-0.2473,335.700,349.646,355.663,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.592
5,8.649248,-0.0705,0.4427,-0.2476,335.038,349.728,355.475,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.632
6,8.690998,-0.0698,0.4430,-0.2482,334.292,349.550,355.151,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.848,337.104,64.755,01-08 17:52:28.674
7,8.737795,-0.0705,0.4437,-0.2502,333.954,349.982,354.586,-0.2611,0.0370,0.2665,4.681,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.722
8,8.77473,-0.0701,0.4446,-0.2520,333.356,349.810,354.734,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.759
9,8.816501,-0.0698,0.4447,-0.2518,332.546,350.190,354.868,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.848,337.104,64.755,01-08 17:52:28.800
10,8.858669,-0.0696,0.4447,-0.2514,332.596,350.669,354.853,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.843
11,8.899658,-0.0698,0.4421,-0.2478,333.707,351.549,354.937,-0.2611,0.0370,0.2665,4.682,16.821,306.616,-0.3014,0.0387,0.1844,9.849,337.104,64.755,01-08 17:52:28.884
12,8.94169,-0.0683,0.4378,-0.2455,336.059,352.070,354.907,-0.2611,0.0370,0.2665,4.683,16.822,306.618,-0.3014,0.0387,0.1844,9.848,337.104,64.755,01-08 17:52:28.925
13,8.983195,-0.0666,0.4312,-0.2443,340.401,352.555,354.466,-0.2610,0.0362,0.2668,4.379,16.882,306.675,-0.3027,0.0382,0.1833,9.785,336.866,64.495,01-08 17:52:28.967
14,9.024481,-0.0645,0.4260,-0.2425,344.617,353.923,352.948,-0.2609,0.0347,0.2680,4.248,19.649,306.553,-0.3073,0.0372,0.1847,8.941,336.759,64.915,01-08 17:52:29.008
15,9.067176,-0.0615,0.4228,-0.2410,347.577,354.473,352.341,-0.2614,0.0335,0.2694,4.782,20.588,306.948,-0.3091,0.0370,0.1849,11.896,336.117,61.252,01-08 17:52:29.051
16,9.108426,-0.0588,0.4229,-0.2405,347.584,354.897,352.479,-0.2616,0.0332,0.2696,4.554,19.659,306.872,-0.3117,0.0356,0.1830,8.743,336.298,62.543,01-08 17:52:29.093
17,9.149865,-0.0558,0.4238,-0.2396,346.725,354.497,352.858,-0.2611,0.0314,0.2703,3.248,19.200,305.494,-0.3166,0.0332,0.1768,5.333,337.719,64.690,01-08 17:52:29.133
18,9.191446,-0.0548,0.4262,-0.2378,344.294,354.040,353.240,-0.2631,0.0309,0.2728,4.814,19.294,307.244,-0.3138,0.0368,0.1772,9.233,339.654,44.603,01-08 17:52:29.176
19,9.233687,-0.0524,0.4277,-0.2358,342.365,353.513,353.822,-0.2631,0.0306,0.2727,4.147,19.276,306.581,-0.3058,0.0417,0.1818,12.481,332.898,42.644,01-08 17:52:29.218
20,9.274773,-0.0510,0.4272,-0.2359,342.267,353.736,354.380,-0.2641,0.0290,0.2747,4.261,19.283,306.731,-0.2928,0.0694,0.1918,12.715,339.803,16.230,01-08 17:52:29.259
21,9.316628,-0.0492,0.4253,-0.2354,342.525,354.171,354.415,-0.2651,0.0276,0.2762,4.241,19.285,306.760,-0.2819,0.0928,0.1913,14.675,337.228,6.884,01-08 17:52:29.301
22,9.358486,-0.0480,0.4238,-0.2354,344.139,355.040,354.505,-0.2659,0.0263,0.2776,4.218,19.298,306.784,-0.2648,0.1275,0.1879,11.979,334.261,351.456,01-08 17:52:29.342
23,9.399446,-0.0462,0.4208,-0.2362,346.253,355.963,354.667,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2351,0.1584,0.1807,11.839,328.326,334.545,01-08 17:52:29.384
24,9.441648,-0.0443,0.4178,-0.2368,348.455,357.137,355.254,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.1960,0.1798,0.1755,10.316,327.300,324.153,01-08 17:52:29.426
25,9.483203,-0.0426,0.4134,-0.2386,350.903,358.024,355.902,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.1575,0.1980,0.1682,7.816,323.992,324.386,01-08 17:52:29.467
26,9.524907,-0.0407,0.4099,-0.2404,353.634,359.378,356.148,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.1172,0.2174,0.1640,5.684,328.958,329.119,01-08 17:52:29.509
27,9.566726,-0.0383,0.4079,-0.2421,355.728,0.826,356.110,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.0765,0.2319,0.1598,4.348,336.328,337.209,01-08 17:52:29.550
