Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
0,30.92221,0.2230,0.5429,-0.0709,48.322,12.888,358.233,0.0298,0.1157,-0.0755,43.268,333.460,56.418,0.3296,0.0560,-0.0269,357.040,11.461,350.306,01-08 18:53:08.480
1,30.97375,0.2201,0.5636,-0.0737,42.448,11.920,357.654,0.0231,0.1402,-0.0869,44.801,330.555,54.523,0.3286,0.0560,-0.0242,357.065,10.032,354.729,01-08 18:53:08.527
2,31.02018,0.2169,0.5788,-0.0770,38.260,10.842,357.202,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.3282,0.0573,-0.0217,357.225,9.495,356.051,01-08 18:53:08.574
3,31.05783,0.2142,0.5939,-0.0830,34.213,9.647,356.283,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.3231,0.0600,-0.0172,357.303,9.524,355.138,01-08 18:53:08.612
4,31.09836,0.2105,0.6087,-0.0906,30.572,8.300,355.954,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.3015,0.0707,-0.0242,350.056,3.490,340.615,01-08 18:53:08.653
5,31.14013,0.2081,0.6222,-0.0985,27.037,7.211,355.593,0.0000,-0.0196,0.0460,60.000,0.000,0.000,0.2893,0.0783,-0.0385,341.970,358.155,334.183,01-08 18:53:08.694
6,31.18222,0.2059,0.6342,-0.1072,23.633,6.264,355.118,0.0053,0.1257,-0.1242,45.451,348.814,95.355,0.2813,0.0760,-0.0465,338.434,354.833,332.306,01-08 18:53:08.737
7,31.22403,0.2040,0.6453,-0.1160,20.440,5.622,354.830,-0.0056,0.1399,-0.1443,46.060,344.797,105.085,0.2737,0.0632,-0.0460,350.870,356.655,331.644,01-08 18:53:08.778
8,31.26576,0.2027,0.6540,-0.1259,17.213,4.987,354.402,-0.0166,0.1377,-0.1465,45.026,341.955,96.252,0.2691,0.0600,-0.0425,6.762,359.003,332.259,01-08 18:53:08.820
9,31.30677,0.2022,0.6620,-0.1362,14.070,4.597,353.857,-0.0246,0.1377,-0.1463,41.956,340.044,92.014,0.2659,0.0575,-0.0384,12.347,359.853,331.798,01-08 18:53:08.862
10,31.34911,0.2020,0.6683,-0.1472,11.425,4.278,353.425,-0.0310,0.1400,-0.1445,34.282,338.837,89.561,0.2663,0.0573,-0.0363,12.387,0.306,331.842,01-08 18:53:08.903
11,31.39185,0.2021,0.6744,-0.1593,9.618,4.094,352.848,-0.0473,0.1505,-0.1443,30.769,335.841,87.724,0.2676,0.0582,-0.0325,9.770,2.758,331.984,01-08 18:53:08.945
12,31.43231,0.2025,0.6803,-0.1722,8.885,4.124,352.627,-0.0584,0.1675,-0.1430,26.382,339.819,86.902,0.2679,0.0583,-0.0308,5.584,6.452,329.858,01-08 18:53:08.987
13,31.47321,0.2024,0.6866,-0.1851,8.337,4.090,352.676,-0.0670,0.1808,-0.1448,23.716,343.635,86.371,0.2671,0.0582,-0.0305,3.942,7.864,328.537,01-08 18:53:09.027
14,31.51497,0.2020,0.6923,-0.1979,7.879,3.855,353.121,-0.0742,0.1852,-0.1461,22.545,348.340,89.512,0.2663,0.0569,-0.0322,4.908,9.509,327.653,01-08 18:53:09.070
