Frame,Time,P0_posX,P0_posY,P0_posZ,P1_posX,P1_posY,P1_posZ,P2_posX,P2_posY,P2_posZ,P3_posX,P3_posY,P3_posZ,P4_posX,P4_posY,P4_posZ,P5_posX,P5_posY,P5_posZ,P6_posX,P6_posY,P6_posZ,P7_posX,P7_posY,P7_posZ,P8_posX,P8_posY,P8_posZ,P9_posX,P9_posY,P9_posZ,P10_posX,P10_posY,P10_posZ,P11_posX,P11_posY,P11_posZ,P12_posX,P12_posY,P12_posZ,P13_posX,P13_posY,P13_posZ,P14_posX,P14_posY,P14_posZ,P15_posX,P15_posY,P15_posZ,P16_posX,P16_posY,P16_posZ,P17_posX,P17_posY,P17_posZ,P18_posX,P18_posY,P18_posZ,P19_posX,P19_posY,P19_posZ,P20_posX,P20_posY,P20_posZ,P21_posX,P21_posY,P21_posZ,P22_posX,P22_posY,P22_posZ,P23_posX,P23_posY,P23_posZ,P24_posX,P24_posY,P24_posZ,P25_posX,P25_posY,P25_posZ,P26_posX,P26_posY,P26_posZ,P27_posX,P27_posY,P27_posZ,P28_posX,P28_posY,P28_posZ,P29_posX,P29_posY,P29_posZ,P30_posX,P30_posY,P30_posZ,P31_posX,P31_posY,P31_posZ,Timestamp
0,8.429663,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.417
1,8.482435,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.466
2,8.524504,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.509
3,8.566518,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.551
4,8.608086,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.592
5,8.649248,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.632
6,8.690998,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.674
7,8.737795,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.722
8,8.77473,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.759
9,8.816501,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,0.0000,1.0400,0.0000,01-08 17:52:28.800
